title,year,rating,type,genres
Mystery Men,1999,6.1,movie,
,,,,Action
Star Wars: Episode I - The Phantom Menace,1999,6.5,movie,
,,,,Action
The World Is Not Enough,1999,6.4,movie,
,,,,Action
Austin Powers: The Spy Who Shagged Me,1999,6.6,movie,
,,,,Action
Deep Blue Sea,1999,5.9,movie,
,,,,Action
The 13th Warrior,1999,6.6,movie,
,,,,Action
The Matrix,1999,8.7,movie,
,,,,Action
The Mummy,1999,7.0,movie,
,,,,Action
Beowulf,1999,4.2,movie,
,,,,Action
Three Kings,1999,7.1,movie,
,,,,Action
The Iron Giant,1999,8.0,movie,
,,,,Action
Wild Wild West,1999,5.0,movie,
,,,,Action
The Boondock Saints,1999,7.8,movie,
,,,,Action
