title,year,rating,type,genres
Galaxy Quest,1999,7.3,movie,
,,,,Adventure
Star Wars: Episode I - The Phantom Menace,1999,6.5,movie,
,,,,Adventure
Dogma,1999,7.3,movie,
,,,,Adventure
The World Is Not Enough,1999,6.4,movie,
,,,,Adventure
Austin Powers: The Spy Who Shagged Me,1999,6.6,movie,
,,,,Adventure
Deep Blue Sea,1999,5.9,movie,
,,,,Adventure
Toy Story 2,1999,7.9,movie,
,,,,Adventure
The 13th Warrior,1999,6.6,movie,
,,,,Adventure
The Mummy,1999,7.0,movie,
,,,,Adventure
Beowulf,1999,4.2,movie,
,,,,Adventure
Three Kings,1999,7.1,movie,
,,,,Adventure
The Iron Giant,1999,8.0,movie,
,,,,Adventure
Tarzan,1999,7.3,movie,
,,,,Adventure
