title,year,rating,type,genres
Being John Malkovich,1999,7.7,movie,
,,,,Comedy
Office Space,1999,7.7,movie,
,,,,Comedy
Big Daddy,1999,6.4,movie,
,,,,Comedy
Notting Hill,1999,7.1,movie,
,,,,Comedy
Drop Dead Gorgeous,1999,6.6,movie,
,,,,Comedy
American Pie,1999,7.0,movie,
,,,,Comedy
Mystery Men,1999,6.1,movie,
,,,,Comedy
Galaxy Quest,1999,7.3,movie,
,,,,Comedy
Dogma,1999,7.3,movie,
,,,,Comedy
Austin Powers: The Spy Who Shagged Me,1999,6.6,movie,
,,,,Comedy
Toy Story 2,1999,7.9,movie,
,,,,Comedy
10 Things I Hate About You,1999,7.3,movie,
,,,,Comedy
She's All That,1999,5.9,movie,
,,,,Comedy
Life,1999,6.8,movie,
,,,,Comedy
Blast from the Past,1999,6.6,movie,
,,,,Comedy
Three Kings,1999,7.1,movie,
,,,,Comedy
The Iron Giant,1999,8.0,movie,
,,,,Comedy
Wild Wild West,1999,5.0,movie,
,,,,Comedy
But I'm a Cheerleader,1999,6.7,movie,
,,,,Comedy
Jawbreaker,1999,5.7,movie,
,,,,Comedy
