title,year,rating,type,genres
Being John Malkovich,1999,7.7,movie,
,,,,Drama
Big Daddy,1999,6.4,movie,
,,,,Drama
Notting Hill,1999,7.1,movie,
,,,,Drama
The Talented Mr. Ripley,1999,7.4,movie,
,,,,Drama
Boys Don't Cry,1999,7.5,movie,
,,,,Drama
Fight Club,1999,8.8,movie,
,,,,Drama
The Green Mile,1999,8.6,movie,
,,,,Drama
Cruel Intentions,1999,6.8,movie,
,,,,Drama
The Sixth Sense,1999,8.1,movie,
,,,,Drama
Dogma,1999,7.3,movie,
,,,,Drama
Magnolia,1999,8.0,movie,
,,,,Drama
Eyes Wide Shut,1999,7.4,movie,
,,,,Drama
10 Things I Hate About You,1999,7.3,movie,
,,,,Drama
The Virgin Suicides,1999,7.2,movie,
,,,,Drama
Double Jeopardy,1999,6.5,movie,
,,,,Drama
Ôdishon,1999,7.2,movie,
,,,,Drama
American Beauty,1999,8.3,movie,
,,,,Drama
"Girl, Interrupted",1999,7.3,movie,
,,,,Drama
Life,1999,6.8,movie,
,,,,Drama
October Sky,1999,7.8,movie,
,,,,Drama
The Cider House Rules,1999,7.4,movie,
,,,,Drama
Blast from the Past,1999,6.6,movie,
,,,,Drama
Three Kings,1999,7.1,movie,
,,,,Drama
The Iron Giant,1999,8.0,movie,
,,,,Drama
But I'm a Cheerleader,1999,6.7,movie,
,,,,Drama
