title,year,rating,type,genres
Being John Malkovich,1999,7.7,movie,
,,,,Fantasy
Sleepy Hollow,1999,7.3,movie,
,,,,Fantasy
The Green Mile,1999,8.6,movie,
,,,,Fantasy
Mystery Men,1999,6.1,movie,
,,,,Fantasy
Star Wars: Episode I - The Phantom Menace,1999,6.5,movie,
,,,,Fantasy
Dogma,1999,7.3,movie,
,,,,Fantasy
Toy Story 2,1999,7.9,movie,
,,,,Fantasy
The Mummy,1999,7.0,movie,
,,,,Fantasy
Beowulf,1999,4.2,movie,
,,,,Fantasy
House on Haunted Hill,1999,5.7,movie,
,,,,Fantasy
The Haunting,1999,5.0,movie,
,,,,Fantasy
