title,year,rating,type,genres
Notting Hill,1999,7.1,movie,
,,,,Romance
Boys Don't Cry,1999,7.5,movie,
,,,,Romance
Cruel Intentions,1999,6.8,movie,
,,,,Romance
Drop Dead Gorgeous,1999,6.6,movie,
,,,,Romance
10 Things I Hate About You,1999,7.3,movie,
,,,,Romance
The Virgin Suicides,1999,7.2,movie,
,,,,Romance
She's All That,1999,5.9,movie,
,,,,Romance
The Cider House Rules,1999,7.4,movie,
,,,,Romance
Blast from the Past,1999,6.6,movie,
,,,,Romance
But I'm a Cheerleader,1999,6.7,movie,
,,,,Romance
