title,year,rating,type,genres
The Talented Mr. Ripley,1999,7.4,movie,
,,,,Thriller
The Ninth Gate,1999,6.7,movie,
,,,,Thriller
The Sixth Sense,1999,8.1,movie,
,,,,Thriller
eXistenZ,1999,6.8,movie,
,,,,Thriller
Drop Dead Gorgeous,1999,6.6,movie,
,,,,Thriller
The World Is Not Enough,1999,6.4,movie,
,,,,Thriller
Deep Blue Sea,1999,5.9,movie,
,,,,Thriller
Eyes Wide Shut,1999,7.4,movie,
,,,,Thriller
Double Jeopardy,1999,6.5,movie,
,,,,Thriller
Beowulf,1999,4.2,movie,
,,,,Thriller
House on Haunted Hill,1999,5.7,movie,
,,,,Thriller
The Haunting,1999,5.0,movie,
,,,,Thriller
The Boondock Saints,1999,7.8,movie,
,,,,Thriller
Jawbreaker,1999,5.7,movie,
,,,,Thriller
